Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC],PresOB [mBar],RH_OB [%],TempOB [C],Temp RTC [C],Bat [V],Humidity [%],Temp Atmos [C],Distance [mm],
2020/02/24 10:51:12,950.54,11.18,4.10,4.75,4.80,64.18,5.72,663,
2020/02/24 10:56:12,950.61,11.09,4.03,4.50,4.80,63.76,6.10,656,
2020/02/24 11:01:12,950.65,11.03,4.00,4.50,4.81,64.39,5.87,655,
2020/02/24 11:06:12,950.95,11.06,3.91,4.50,4.81,63.98,6.28,760,
2020/02/24 11:11:12,950.69,11.02,3.88,4.25,4.81,65.88,5.68,657,
2020/02/24 11:16:12,950.61,11.05,3.86,4.50,4.81,64.43,6.06,658,
2020/02/24 11:21:12,950.72,11.04,3.89,4.25,4.81,63.22,6.16,656,
2020/02/24 11:26:12,950.80,11.13,4.00,4.50,4.81,63.12,6.36,679,
2020/02/24 11:31:12,950.62,11.15,4.11,4.50,4.81,62.56,6.42,652,
2020/02/24 11:36:12,950.71,11.12,4.17,4.75,4.81,60.39,6.88,9999,
2020/02/24 11:41:12,950.77,11.09,4.22,4.75,4.81,62.95,6.46,656,
2020/02/24 11:46:12,950.92,10.99,4.21,4.75,4.81,64.27,6.19,652,
2020/02/24 11:51:12,950.93,11.00,4.22,4.75,4.81,63.69,6.14,658,
2020/02/24 11:56:12,950.63,11.05,4.25,4.75,4.81,63.07,6.24,659,
2020/02/24 12:01:12,951.04,11.14,4.31,4.75,4.80,61.03,6.93,661,
2020/02/24 12:06:12,950.46,11.13,4.49,5.00,4.81,62.24,6.63,9999,
2020/02/24 12:11:12,950.82,11.10,4.57,5.00,4.81,60.94,6.82,666,
2020/02/24 12:16:12,950.86,11.13,4.69,5.25,4.81,62.72,6.67,659,
2020/02/24 12:21:12,950.80,11.09,4.75,5.25,4.81,60.44,7.00,673,
2020/02/24 12:26:12,950.84,11.13,4.83,5.25,4.81,61.30,6.63,735,
2020/02/24 12:31:12,950.79,11.05,4.90,5.50,4.81,64.14,6.07,669,
2020/02/24 12:36:12,950.96,11.11,4.90,5.25,4.81,61.13,7.04,672,
2020/02/24 12:41:12,950.98,11.04,4.98,5.50,4.81,61.87,6.93,663,
2020/02/24 12:46:12,950.97,10.99,4.98,5.50,4.81,63.81,6.46,658,
2020/02/24 12:51:12,950.89,10.94,4.96,5.50,4.81,63.26,6.66,660,
2020/02/24 12:56:12,950.97,10.93,4.94,5.50,4.81,62.84,6.47,661,
2020/02/24 13:01:12,950.79,10.96,4.99,5.50,4.81,63.91,6.36,725,
2020/02/24 13:06:12,951.32,10.92,5.00,5.50,4.81,62.52,6.69,660,
2020/02/24 13:11:12,951.16,10.92,5.00,5.50,4.81,63.61,6.63,664,
2020/02/24 13:16:12,951.23,10.92,5.03,5.50,4.81,62.10,6.92,665,
2020/02/24 13:21:12,950.97,10.92,5.06,5.50,4.81,63.71,6.42,666,
2020/02/24 13:26:12,951.39,10.88,5.02,5.50,4.81,62.95,6.70,665,
2020/02/24 13:31:12,951.35,10.90,5.04,5.50,4.81,62.83,6.59,674,
2020/02/24 13:36:12,951.57,10.91,5.07,5.50,4.80,63.31,6.77,669,
2020/02/24 13:41:12,951.30,10.89,5.06,5.50,4.81,64.51,6.44,664,
2020/02/24 13:46:12,951.48,10.85,5.03,5.50,4.81,64.07,6.81,667,
2020/02/24 13:51:12,951.37,10.84,5.04,5.50,4.81,65.63,6.36,666,
2020/02/24 13:56:12,951.57,10.89,5.06,5.50,4.81,64.59,6.88,667,
2020/02/24 14:01:12,951.28,10.88,5.15,5.75,4.81,64.95,6.71,676,
2020/02/24 14:06:12,951.41,10.91,5.22,5.75,4.81,63.02,7.08,665,
2020/02/24 14:11:12,951.36,10.96,5.40,6.00,4.81,62.93,7.05,666,
2020/02/24 14:16:12,951.01,10.90,5.55,6.25,4.81,62.76,6.58,666,
2020/02/24 14:21:12,951.43,10.86,5.55,6.00,4.81,62.18,7.15,666,
2020/02/24 14:26:12,951.49,10.89,5.48,6.00,4.81,64.43,6.59,653,
2020/02/24 14:31:12,951.61,11.19,5.46,6.00,4.81,64.47,6.80,661,
2020/02/24 14:36:12,951.60,11.24,5.45,6.00,4.81,63.77,6.77,682,
2020/02/24 14:41:12,952.01,11.29,5.36,6.00,4.81,63.04,6.97,673,
2020/02/24 14:46:12,951.58,11.39,5.41,6.00,4.81,62.90,7.30,661,
2020/02/24 14:51:12,952.14,11.39,5.48,6.00,4.81,61.14,7.55,666,
2020/02/24 14:56:12,951.71,11.56,5.70,6.25,4.81,61.67,7.15,669,
2020/02/24 15:01:12,952.01,11.47,5.74,6.25,4.81,62.94,7.01,663,
2020/02/24 15:06:12,951.87,11.49,5.81,6.25,4.81,64.77,6.80,667,
2020/02/24 15:11:12,952.00,11.34,5.73,6.25,4.81,65.58,6.66,680,
2020/02/24 15:16:12,951.72,11.28,5.58,6.25,4.81,65.79,6.53,681,
2020/02/24 15:21:12,952.12,11.39,5.50,6.00,4.81,62.83,7.38,754,
2020/02/24 15:26:12,951.71,11.47,5.61,6.25,4.81,65.90,6.54,670,
2020/02/24 15:31:12,951.66,11.36,5.61,6.25,4.81,64.37,6.93,664,
2020/02/24 15:36:12,951.67,11.49,5.70,6.25,4.81,60.83,7.44,661,
2020/02/24 15:41:12,951.64,11.68,5.96,6.50,4.81,61.10,7.38,665,
2020/02/24 15:46:12,951.61,11.76,6.26,6.75,4.81,60.59,7.62,662,
2020/02/24 15:51:12,951.59,11.59,6.44,7.00,4.81,61.44,7.19,665,
2020/02/24 15:56:12,951.59,11.69,6.49,7.00,4.81,60.66,7.32,666,
2020/02/24 16:01:12,951.50,11.58,6.57,7.25,4.81,60.09,7.70,662,
2020/02/24 16:06:12,951.57,11.24,6.47,7.00,4.81,61.60,7.15,672,
2020/02/24 16:11:12,952.01,11.23,6.15,6.75,4.81,59.38,7.95,664,
2020/02/24 16:16:12,951.70,11.42,6.13,6.75,4.81,59.47,7.63,692,
2020/02/24 16:21:12,951.48,11.48,6.21,6.75,4.81,61.46,7.16,668,
2020/02/24 16:26:12,951.53,11.57,6.27,6.75,4.81,59.44,7.66,682,
2020/02/24 16:31:12,951.80,11.29,6.22,6.75,4.81,61.76,6.88,782,
2020/02/24 16:36:12,951.83,11.35,6.16,6.75,4.81,59.57,7.78,660,
2020/02/24 16:41:12,951.67,11.24,6.15,6.75,4.81,61.70,6.82,683,
2020/02/24 16:46:12,951.93,11.38,6.06,6.50,4.81,60.18,7.63,680,
2020/02/24 16:51:12,951.86,11.57,6.19,6.75,4.81,58.66,7.71,664,
2020/02/24 16:56:12,951.82,11.76,6.37,6.75,4.81,57.01,7.63,679,
2020/02/24 17:01:12,952.03,11.92,6.53,7.00,4.81,56.56,8.26,644,
2020/02/24 17:06:12,951.87,11.88,6.75,7.25,4.81,58.44,7.43,672,
2020/02/24 17:11:12,951.77,11.79,6.84,7.50,4.81,57.90,8.18,634,
2020/02/24 17:16:12,952.51,11.82,6.86,7.50,4.80,56.96,8.48,666,
2020/02/24 17:21:12,952.04,12.01,7.09,7.75,4.80,58.04,7.71,658,
2020/02/24 17:26:12,951.68,11.53,7.21,7.75,4.81,59.38,7.34,676,
2020/02/24 17:31:12,952.01,11.46,7.11,7.50,4.80,59.91,7.44,681,
2020/02/24 17:36:12,951.81,12.10,7.32,8.00,4.81,57.67,8.24,672,
2020/02/24 17:41:12,951.78,12.24,7.67,8.25,4.81,54.78,8.35,666,
2020/02/24 17:46:12,952.42,12.01,7.76,8.25,4.81,58.21,7.71,676,
2020/02/24 17:51:12,952.52,11.26,7.67,8.25,4.81,59.84,7.53,683,
2020/02/24 17:56:12,952.51,11.76,7.69,8.25,4.81,58.53,7.82,673,
2020/02/24 18:01:12,952.26,11.97,7.73,8.25,4.81,57.89,7.82,678,
2020/02/24 18:06:12,952.52,12.02,7.78,8.25,4.81,58.35,7.75,675,
2020/02/24 18:11:12,952.56,11.33,7.66,8.25,4.81,58.59,7.78,683,
2020/02/24 18:16:12,952.75,11.73,7.58,8.00,4.81,58.25,8.08,694,
2020/02/24 18:21:12,953.03,11.49,7.64,8.25,4.81,58.31,7.99,677,
2020/02/24 18:26:12,952.37,11.34,7.62,8.00,4.80,59.00,7.54,644,
2020/02/24 18:31:12,953.00,11.97,7.62,8.00,4.81,56.09,8.58,677,
2020/02/24 18:36:12,952.90,11.95,7.89,8.50,4.81,57.07,8.13,676,
2020/02/24 18:41:12,952.68,11.67,7.98,8.50,4.80,57.53,7.81,681,
2020/02/24 18:46:12,952.59,12.00,8.07,8.75,4.81,54.82,8.72,680,
2020/02/24 18:51:12,952.68,11.89,8.20,8.75,4.81,56.22,8.16,675,
2020/02/24 18:56:12,952.87,11.69,8.19,8.75,4.81,57.46,8.21,679,
2020/02/24 19:01:12,952.96,11.37,8.07,8.50,4.80,57.55,8.24,9999,
2020/02/24 19:06:12,952.69,11.54,7.94,8.50,4.81,57.14,8.06,692,
2020/02/24 19:11:12,952.94,11.85,7.89,8.50,4.80,55.45,8.78,683,
2020/02/24 19:16:12,952.73,11.51,8.03,8.50,4.81,58.34,7.72,689,
2020/02/24 19:21:12,952.63,11.47,7.97,8.50,4.81,57.76,7.98,690,
2020/02/24 19:26:12,952.69,12.08,8.22,8.75,4.81,56.92,8.59,689,
2020/02/24 19:31:12,952.89,11.22,8.10,8.50,4.81,62.10,7.34,691,
2020/02/24 19:36:12,953.19,10.87,7.43,8.00,4.81,61.49,7.61,690,
2020/02/24 19:41:12,953.31,10.88,6.91,7.50,4.81,61.67,7.93,695,
2020/02/24 19:46:12,953.14,11.07,6.74,7.25,4.81,60.30,7.93,692,
2020/02/24 19:51:12,953.33,11.10,6.63,7.25,4.81,60.16,7.89,685,
2020/02/24 19:56:12,953.39,10.88,6.48,7.00,4.80,64.12,7.46,9999,
2020/02/24 20:01:12,953.39,10.82,6.21,6.75,4.80,64.50,7.19,710,
2020/02/24 20:06:12,953.48,10.95,6.06,6.50,4.80,62.38,7.43,712,
2020/02/24 20:11:12,953.67,11.42,5.93,6.50,4.80,62.34,7.90,690,
2020/02/24 20:16:12,953.42,11.92,6.09,6.50,4.80,62.66,7.40,696,
2020/02/24 20:21:12,953.94,11.82,6.11,6.75,4.80,60.44,7.72,699,
2020/02/24 20:26:12,953.73,11.95,6.14,6.75,4.80,60.36,8.20,706,
2020/02/24 20:31:12,953.71,12.35,6.27,6.75,4.80,60.72,8.31,683,
2020/02/24 20:36:12,953.53,12.28,6.42,7.00,4.80,59.08,7.82,749,
2020/02/24 20:41:12,953.88,12.06,6.33,6.75,4.80,60.17,8.09,690,
2020/02/24 20:46:12,953.81,12.59,6.47,7.00,4.80,59.31,7.93,681,
2020/02/24 20:51:12,953.93,12.78,6.60,7.00,4.80,61.70,7.95,689,
2020/02/24 20:56:12,953.69,12.96,6.79,7.25,4.80,57.73,8.54,683,
2020/02/24 21:01:12,953.57,13.02,6.96,7.50,4.80,58.54,8.12,689,
