Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Anemometer revolutions [number],
2020/02/20 12:36:55,998.07,23.45,25.61,26.50,2.76,213,
2020/02/20 12:37:00,998.12,23.54,25.62,26.75,2.76,213,
2020/02/20 12:37:05,998.10,23.64,25.61,26.50,2.76,213,
2020/02/20 12:37:10,998.09,23.70,25.61,26.50,2.77,214,
2020/02/20 12:37:15,998.07,23.52,25.61,26.50,2.76,213,
2020/02/20 12:37:20,998.05,23.49,25.61,26.75,2.76,215,
2020/02/20 12:37:25,998.10,23.37,25.60,26.75,2.76,214,
2020/02/20 12:37:30,998.09,23.37,25.60,26.50,2.76,213,
2020/02/20 12:37:35,998.07,23.38,25.60,26.50,2.76,213,
2020/02/20 12:37:40,998.06,23.38,25.60,26.75,2.76,213,
2020/02/20 12:37:45,998.11,23.39,25.59,26.75,2.76,215,
2020/02/20 12:37:50,998.04,23.45,25.59,26.50,2.76,214,
2020/02/20 12:37:55,998.09,23.37,25.59,26.50,2.77,213,
2020/02/20 12:38:00,998.08,23.32,25.58,26.50,2.76,219,
2020/02/20 12:38:05,998.08,23.37,25.58,26.50,2.76,213,
2020/02/20 12:38:10,998.05,23.31,25.58,26.50,2.76,213,
2020/02/20 12:38:15,998.13,23.31,25.58,26.50,2.76,214,
2020/02/20 12:38:20,998.11,23.31,25.58,26.50,2.76,213,
2020/02/20 12:38:25,998.13,23.32,25.59,26.50,2.76,212,
2020/02/20 12:38:30,998.12,23.35,25.58,26.50,2.76,213,
2020/02/20 12:38:35,998.05,23.36,25.58,26.50,2.76,213,
2020/02/20 12:38:40,998.04,23.41,25.57,26.50,2.77,213,
2020/02/20 12:38:45,998.06,23.43,25.58,26.50,2.76,214,
2020/02/20 12:38:50,998.08,23.71,25.57,26.50,2.77,107,
2020/02/20 12:38:55,998.10,23.67,25.58,26.50,2.77,0,
2020/02/20 12:39:00,998.11,23.49,25.58,26.50,2.77,0,
2020/02/20 12:39:05,998.08,23.40,25.58,26.50,2.76,85,
2020/02/20 12:39:10,998.07,23.34,25.56,26.50,2.77,216,
2020/02/20 12:39:15,998.06,23.29,25.57,26.50,2.77,216,
2020/02/20 12:39:20,998.10,23.24,25.57,26.50,2.76,200,
2020/02/20 12:39:25,998.11,23.23,25.57,26.75,2.76,0,
2020/02/20 12:39:30,998.09,23.37,25.56,26.75,2.76,0,
2020/02/20 12:39:35,998.05,23.45,25.56,26.50,2.77,0,
2020/02/20 12:39:40,998.08,23.51,25.56,26.50,2.76,0,
2020/02/20 12:39:45,998.08,23.50,25.57,26.50,2.76,0,
2020/02/20 12:39:50,998.06,23.86,25.57,26.50,2.76,0,
2020/02/20 12:39:55,998.07,23.68,25.56,26.50,2.76,193,
2020/02/20 12:40:00,998.09,23.67,25.57,26.75,2.77,183,
2020/02/20 12:40:05,998.09,23.65,25.56,26.50,2.76,209,
2020/02/20 12:40:10,998.08,23.87,25.57,26.50,2.76,243,
2020/02/20 12:40:15,998.07,24.23,25.56,26.50,2.77,222,
2020/02/20 12:40:20,998.04,24.18,25.58,26.50,2.76,216,
2020/02/20 12:40:25,998.12,24.19,25.58,26.50,2.77,216,
2020/02/20 12:40:30,998.09,23.92,25.57,26.50,2.77,216,
2020/02/20 12:40:35,998.12,23.69,25.57,26.50,2.76,216,
2020/02/20 12:40:40,998.10,23.52,25.57,26.75,2.77,216,
2020/02/20 12:40:45,998.10,23.52,25.58,26.50,2.76,216,
