Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Humidity [%], Temp Atmos [C],Distace [mm], 
2020/02/24 12:59:21,951.03,12.12,4.65,5.25,4.79,63.78,6.94,604,
2020/02/24 13:04:21,951.21,12.09,4.71,5.25,4.79,63.96,6.64,590,
2020/02/24 13:09:21,951.21,12.00,4.71,5.25,4.79,64.30,6.84,612,
2020/02/24 13:14:21,951.19,12.15,4.73,5.50,4.79,64.17,6.87,602,
2020/02/24 13:19:21,951.04,12.08,4.76,5.50,4.79,63.77,6.73,616,
2020/02/24 13:24:21,950.58,12.02,4.74,5.25,4.79,64.59,7.17,582,
2020/02/24 13:29:21,951.20,12.04,4.75,5.25,4.79,64.48,7.06,585,
2020/02/24 13:34:21,951.35,12.07,4.84,5.50,4.79,65.36,6.62,607,
2020/02/24 13:39:21,951.22,12.04,4.88,5.50,4.79,65.61,6.91,631,
2020/02/24 13:44:21,951.52,12.03,4.85,5.50,4.79,65.53,6.61,605,
2020/02/24 13:49:21,951.37,12.09,4.87,5.50,4.79,65.61,6.62,614,
2020/02/24 13:54:21,951.53,12.07,4.88,5.50,4.79,66.72,6.64,618,
2020/02/24 13:59:21,951.22,12.26,5.01,5.75,4.79,65.19,6.69,616,
2020/02/24 14:04:21,951.21,12.13,5.09,5.75,4.79,65.34,7.10,590,
2020/02/24 14:09:21,951.42,12.09,5.25,5.75,4.79,64.19,7.16,600,
2020/02/24 14:14:21,951.15,11.98,5.43,6.00,4.79,64.03,7.20,588,
2020/02/24 14:19:21,951.24,12.02,5.46,6.00,4.79,64.06,7.24,570,
2020/02/24 14:24:21,951.29,11.98,5.43,6.00,4.79,65.34,6.66,606,
2020/02/24 14:29:21,951.58,12.00,5.37,6.00,4.79,64.90,6.83,611,
2020/02/24 14:34:21,951.34,12.04,5.37,6.00,4.79,64.73,6.88,621,
2020/02/24 14:39:21,951.89,11.95,5.30,6.00,4.79,65.84,6.50,627,
2020/02/24 14:44:21,951.76,12.00,5.31,6.00,4.79,66.01,6.91,589,
2020/02/24 14:49:21,951.39,11.87,5.39,6.00,4.79,64.01,7.05,577,
2020/02/24 14:54:21,951.57,12.13,5.60,6.25,4.79,61.52,7.50,650,
2020/02/24 14:59:21,951.80,11.93,5.71,6.25,4.79,63.66,7.36,612,
2020/02/24 15:04:21,951.73,11.90,5.78,6.50,4.79,65.20,6.98,617,
2020/02/24 15:09:21,951.87,11.92,5.78,6.50,4.79,67.50,6.72,626,
2020/02/24 15:14:21,951.49,11.50,5.69,6.25,4.79,67.65,6.43,642,
2020/02/24 15:19:21,951.67,11.39,5.57,6.25,4.79,66.26,6.84,645,
2020/02/24 15:24:21,951.85,11.62,5.64,6.25,4.79,65.13,7.02,628,
2020/02/24 15:29:21,951.84,11.71,5.64,6.25,4.79,66.14,7.01,635,
2020/02/24 15:34:21,951.74,11.60,5.65,6.25,4.79,64.20,7.60,596,
2020/02/24 15:39:21,951.75,11.69,5.84,6.50,4.79,62.29,7.54,633,
2020/02/24 15:44:21,951.87,11.75,6.19,6.75,4.79,62.23,7.81,638,
2020/02/24 15:49:21,951.56,11.82,6.43,7.00,4.79,62.59,7.58,623,
2020/02/24 15:54:21,951.50,11.73,6.43,7.00,4.79,61.47,8.01,606,
2020/02/24 15:59:21,951.89,11.84,6.51,7.25,4.79,60.88,8.05,616,
2020/02/24 16:04:21,951.12,12.15,6.45,7.00,4.79,62.84,7.53,650,
2020/02/24 16:09:21,951.05,11.81,6.22,6.75,4.79,65.45,6.66,623,
2020/02/24 16:14:21,951.39,11.91,5.99,6.75,4.79,61.49,7.54,614,
2020/02/24 16:19:21,951.35,11.91,6.06,6.75,4.79,60.45,7.77,623,
2020/02/24 16:24:21,951.53,11.89,6.10,6.75,4.79,60.49,8.07,614,
2020/02/24 16:29:21,951.45,11.88,6.17,6.75,4.79,64.14,7.12,615,
2020/02/24 16:34:21,951.63,11.80,6.08,6.75,4.79,61.65,7.63,609,
2020/02/24 16:39:21,951.58,11.79,6.13,6.75,4.79,61.16,7.39,655,
2020/02/24 16:44:21,951.71,11.76,6.13,6.75,4.79,62.24,7.32,651,
2020/02/24 16:49:21,951.52,11.72,6.17,6.75,4.79,59.30,7.94,626,
2020/02/24 16:54:21,951.62,11.77,6.29,7.00,4.79,61.10,7.56,615,
2020/02/24 16:59:21,951.67,12.00,6.43,7.00,4.79,60.36,7.77,634,
2020/02/24 17:04:21,951.79,12.04,6.59,7.25,4.79,60.47,7.92,627,
2020/02/24 17:09:21,951.81,11.73,6.66,7.25,4.79,60.11,8.12,614,
2020/02/24 17:14:21,951.63,11.54,6.71,7.25,4.79,60.34,7.52,657,
2020/02/24 17:19:21,951.83,11.60,6.89,7.50,4.79,59.33,7.83,630,
2020/02/24 17:24:21,951.93,11.68,7.09,7.75,4.79,58.95,7.76,653,
2020/02/24 17:29:21,951.67,11.71,7.07,7.75,4.79,60.89,7.45,651,
2020/02/24 17:34:21,952.35,11.48,7.03,7.75,4.79,58.64,8.72,640,
2020/02/24 17:39:21,952.37,11.65,7.37,8.00,4.79,58.28,9.01,619,
2020/02/24 17:44:21,952.16,11.55,7.61,8.25,4.79,58.84,8.60,629,
2020/02/24 17:49:21,952.16,11.50,7.55,8.25,4.79,59.91,8.01,631,
2020/02/24 17:54:21,952.33,11.47,7.46,8.00,4.79,58.30,8.51,634,
2020/02/24 17:59:21,952.47,11.56,7.47,8.00,4.79,58.62,8.32,640,
2020/02/24 18:04:21,952.65,11.64,7.51,8.00,4.79,61.32,8.07,636,
2020/02/24 18:09:21,952.37,11.49,7.46,8.00,4.79,62.35,7.34,640,
